items__id;items__title;items__ns;items__url;items__revision__id;items__revision__user;items__revision__user_id;items__revision__timestamp;items__abstract;items__thumbnail;items__original_dimensions__width;items__original_dimensions__height;magazine
141726;Peter Gambi (New Earth);0;/wiki/Peter_Gambi_(New_Earth);1789526;Tec15;667970;1469725160;Peter Gambi, like his brother Paul, was a tailor, though Peter worked out of a shop in...;https://vignette.wikia.nocookie.net/marvel_dc/images/4/4f/Peter_Gambi_003.jpg/revision/latest/window-crop/width/200/x-offset/0/y-offset/0/window-width/225/window-height/225?cb=20120212062819;225;332;DC
1973;Death (New Earth);0;/wiki/Death_(New_Earth);1940268;Samanthademeste;25491097;1500511917;Death of the Endless came into existence shortly after the first lifeforms appeared in the...;https://vignette.wikia.nocookie.net/marvel_dc/images/e/ed/Action_Comics_Vol_1_894_Textless.jpg/revision/latest/window-crop/width/200/x-offset/0/y-offset/0/window-width/1479/window-height/1479?cb=20130425171749;1479;2200;DC
10471;Dogwelder (New Earth);0;/wiki/Dogwelder_(New_Earth);1900480;Theemptydiamond;31004013;1494373152;Dogwelder was a member of Section Eight. During the reformation of the team Dogwelder was...;https://vignette.wikia.nocookie.net/marvel_dc/images/f/f2/Dogwelder_002.jpg/revision/latest/window-crop/width/200/x-offset/0/y-offset/0/window-width/493/window-height/493?cb=20130105043322;493;1015;DC
1557;Big Barda (New Earth);0;/wiki/Big_Barda_(New_Earth);1930778;Koavf;20551;1498196981;Big Barda is a powerful New God from Apokolips who fell in love with Mister Miracle and became a...;https://vignette.wikia.nocookie.net/marvel_dc/images/9/98/Big_Barda_0005.jpg/revision/latest/window-crop/width/200/x-offset/0/y-offset/0/window-width/725/window-height/725?cb=20100414162936;725;1020;DC
430757;Thomas Wayne (Flashpoint Timeline);0;/wiki/Thomas_Wayne_(Flashpoint_Timeline);1939307;724569;25047156;1500265038;In the alternate timeline of Flashpoint Paradox, robber Joe Chill kills the young Bruce Wayne...;https://vignette.wikia.nocookie.net/marvel_dc/images/b/b5/Batman_Vol_3_22_Textless.jpg/revision/latest/window-crop/width/200/x-offset/0/y-offset/0/window-width/812/window-height/812?cb=20170503225701;812;1044;DC
1647;Scandal Savage (New Earth);0;/wiki/Scandal_Savage_(New_Earth);1952752;Darth Plagueis167;27650537;1503685806;Scandal Savage is the daughter of immortal villain Vandal Savage and an unknown Brazilian woman...;https://vignette.wikia.nocookie.net/marvel_dc/images/1/1e/ScandalVU.JPG/revision/latest/window-crop/width/200/x-offset/0/y-offset/0/window-width/301/window-height/301?cb=20080108163612;301;500;DC
206895;Artemis Crock (Earth-16);0;/wiki/Artemis_Crock_(Earth-16);1948003;IAmGroot27;29192232;1502325221;Daughter to the villains Sportsmaster and Huntress, Artemis and her sister Jade were trained...;https://vignette.wikia.nocookie.net/marvel_dc/images/2/2e/Artemis_Earth-16_001.jpg/revision/latest/window-crop/width/200/x-offset/0/y-offset/0/window-width/384/window-height/384?cb=20110221142708;384;557;DC
344192;Daniel West (Prime Earth);0;/wiki/Daniel_West_(Prime_Earth);1955884;Loxlie 35;31106430;1504407321;Daniel West's mother died giving birth to him, a fact for which his father William never forgave...;https://vignette.wikia.nocookie.net/marvel_dc/images/6/68/Flash_Vol_4_23.2_Reverse-Flash_Textless.jpg/revision/latest/window-crop/width/200/x-offset/0/y-offset/0/window-width/1500/window-height/1500?cb=20130911194209;1500;2277;DC
189289;Malleus (Dakotaverse);0;/wiki/Malleus_(Dakotaverse);1966762;Hardware2;26877740;1506860833;The future Malleus was a brilliant geneticist whose perfect life was shattered when his 7-year...;https://vignette.wikia.nocookie.net/marvel_dc/images/9/9c/Malleus_01.png/revision/latest/window-crop/width/200/x-offset/0/y-offset/0/window-width/330/window-height/330?cb=20110629082253;330;366;DC
437346;Grail (Prime Earth);0;/wiki/Grail_(Prime_Earth);1966998;GZilla311;10786238;1506897619;Grail is the daughter of Darkseid, prophesied to cause great destruction at the behest of the...;https://vignette.wikia.nocookie.net/marvel_dc/images/7/79/Grail_%28Prime_Earth%29_002.jpg/revision/latest/window-crop/width/200/x-offset/0/y-offset/0/window-width/1848/window-height/1848?cb=20150509022838;1848;3200;DC
